# Export vaddrs, resolved to names.
#
# known_by = "measured"
# source = "12.40 libkernel_sys.sprx"
#
# Format: <name> <vaddr_hex>. Lines starting with '#' and blank lines are ignored.
#   vaddr  the export's offset within the module, measured from the file. A loader
#          reaches the function by adding it to the module's load base.
#   name   resolved from obscene's mined corpus (data/mined-names.txt) by the NID the
#          export table stores. 1644 of 1867 resolved; the rest keep their
#          encoded NID (hash#lib#mod), the honest statement that the name is not yet
#          known.
#
# Regenerate: obscene-tool vaddrs <module> --source "12.40 libkernel_sys.sprx"
#
pthread_spin_unlock 0xab40
pthread_suspend_all_np 0xf8f0
pthread_suspend_np 0xf680
pthread_suspend_user_context_np 0xfb60
pthread_suspend_user_context_np 0xfb60
pthread_switch_add_np 0xfb40
pthread_switch_delete_np 0xfb50
posix_pthread_testcancel 0x5b30
posix_pthread_testcancel 0x5b30
posix_pthread_timedjoin_np 0x9a30
posix_pthread_yield 0xfdc0
posix_pthread_yield 0xfdc0
posix_pwrite 0x13610
posix_pwrite 0x13610
posix_pwritev 0x14b0
posix_pwritev 0x14b0
posix_raise 0xd0e0
posix_read 0xf080
posix_read 0xf080
readv 0xf0e0
readv 0xf0e0
recv 0x133f0
recv 0x133f0
recvfrom 0xf140
recvfrom 0xf140
recvmsg 0xf1c0
recvmsg 0xf1c0
posix_rename 0xe90
posix_rename 0xe90
rfork_thread 0x1f0
posix_rmdir 0xf70
posix_rmdir 0xf70
rtld_printf 0x39bb0
rtprio_thread 0x1f50
6nv1h9JH1Lk#I#A 0x2b230
sceKernelDebugRaiseExceptionWithContext 0x2b230
sceKernelDebugRaiseExceptionWithContext 0x2b230
6nv1h9JH1Lk#h#A 0x2b230
sceKernelAddCpumodeEvent 0x1ebb0
sceKernelAddFileEvent 0x1e4e0
sceKernelAddGpuExceptionEvent 0x1e900
sceKernelAddHRTimerEvent 0x1df90
sceKernelAddProcessToCanvasMap 0x22f20
sceKernelAddReadEvent 0x1e2c0
sceKernelAddTimerEvent 0x1de80
sceKernelAddUserEvent 0x1e5f0
sceKernelAddUserEventEdge 0x1e670
sceKernelAddWriteEvent 0x1e3d0
U-zqHonxxm4#I#A 0x1e800
sceKernelAddAmprEvent 0x1e0b0
sceKernelDeleteAmprEvent 0x1e130
sceKernelAddAmprSystemEvent 0x1e1b0
sceKernelDeleteAmprSystemEvent 0x1e240
sceKernelAioCancelRequest 0x17570
sceKernelAioCancelRequests 0x17540
sceKernelAioDeleteRequest 0x16ff0
sceKernelAioDeleteRequests 0x16f90
sceKernelAioInitializeImpl 0x16fc0
sceKernelAioInitializeParam 0x176d0
sceKernelAioPollRequest 0x174b0
sceKernelAioPollRequests 0x17510
sceKernelAioSetParam 0x17700
sceKernelAioSubmitReadCommands 0x175d0
sceKernelAioSubmitReadCommandsMultiple 0x17610
sceKernelAioSubmitWriteCommands 0x17650
sceKernelAioSubmitWriteCommandsMultiple 0x17690
sceKernelAioWaitRequest 0x17420
sceKernelAioWaitRequests 0x17050
sceKernelAllocateDirectMemory 0x18c90
sceKernelAllocateDirectMemory2 0x18d60
